 ,Area,Mean,StdDev,Min,Max,X,Y
232,4,255,0,255,255,322.750,396.250
233,2,255,0,255,255,357.000,395.500
234,3,255,0,255,255,265.500,397.167
235,1,255,0,255,255,353.500,396.500
236,6,255,0,255,255,273.167,398.167
237,86,255,0,255,255,308.930,404.407
238,4,255,0,255,255,411.500,401.000
239,6,255,0,255,255,506.000,401.333
240,1,255,0,255,255,193.500,400.500
241,18,255,0,255,255,237.833,403.333
242,1,255,0,255,255,264.500,401.500
243,5,255,0,255,255,273.500,401.900
244,1,255,0,255,255,501.500,401.500
245,6,255,0,255,255,189.000,404.167
246,1,255,0,255,255,294.500,402.500
247,9,255,0,255,255,337.611,403.833
248,1,255,0,255,255,228.500,403.500
249,4,255,0,255,255,282.000,404.000
250,1,255,0,255,255,493.500,404.500
251,3,255,0,255,255,499.500,405.167
252,3,255,0,255,255,230.500,406.500
253,9,255,0,255,255,329.167,407.389
254,1,255,0,255,255,184.500,407.500
255,4,255,0,255,255,392.500,408.250
256,81,255,0,255,255,413.179,419.019
257,86,255,0,255,255,490.628,416.116
258,31,255,0,255,255,275.597,410.919
259,1,255,0,255,255,508.500,408.500
260,6,255,0,255,255,181.333,411.167
261,1,255,0,255,255,233.500,410.500
262,10,255,0,255,255,281.500,415.100
263,3,255,0,255,255,176.167,415.833
264,1,255,0,255,255,477.500,415.500
265,4,255,0,255,255,480.750,417.500
266,1,255,0,255,255,512.500,416.500
267,1,255,0,255,255,174.500,417.500
268,1,255,0,255,255,509.500,417.500
269,1,255,0,255,255,511.500,418.500
270,1,255,0,255,255,465.500,419.500
271,1,255,0,255,255,476.500,419.500
272,1,255,0,255,255,423.500,420.500
273,1,255,0,255,255,478.500,420.500
274,1,255,0,255,255,169.500,421.500
275,14,255,0,255,255,244.714,424.643
276,1,255,0,255,255,318.500,421.500
277,2,255,0,255,255,472.000,422.000
278,1,255,0,255,255,474.500,421.500
279,2,255,0,255,255,509.500,422.000
280,1,255,0,255,255,446.500,422.500
281,5,255,0,255,255,483.900,424.500
282,23,255,0,255,255,499.283,424.543
283,2,255,0,255,255,278.500,424.000
284,5,255,0,255,255,265.300,425.100
285,7,255,0,255,255,425.071,425.357
286,8,255,0,255,255,163.125,429.000
287,7,255,0,255,255,419.643,427.071
288,3,255,0,255,255,459.500,426.167
289,1,255,0,255,255,401.500,426.500
290,6,255,0,255,255,449.333,427.000
291,1,255,0,255,255,472.500,426.500
292,5,255,0,255,255,269.700,428.700
293,4,255,0,255,255,444.000,427.500
294,3,255,0,255,255,454.500,427.500
295,30,255,0,255,255,497.933,430.400
296,10,255,0,255,255,295.500,430.600
297,2,255,0,255,255,161.000,429.500
298,4,255,0,255,255,250.000,430.500
299,12,255,0,255,255,260.750,431.167
