 ,X,Y
166,413.500,99.500
167,186.559,110.461
168,223.500,103.500
169,442.500,103.500
170,430.500,105.500
171,181.500,106.500
172,435.662,110.554
173,202.500,108.500
174,204.500,109.500
175,220.500,109.500
176,223.000,111.000
177,219.833,112.500
178,425.500,111.500
179,206.500,112.500
180,436.500,114.500
181,211.500,116.000
182,441.500,117.500
183,192.000,120.375
184,430.833,120.500
185,440.167,120.167
186,442.500,119.500
187,432.848,130.365
188,182.500,122.500
189,185.500,124.500
190,417.500,124.500
191,420.500,125.500
192,179.848,128.761
193,185.500,126.500
194,190.700,127.700
195,426.500,126.500
196,194.500,127.500
197,427.500,130.500
198,444.300,135.460
199,185.281,140.773
200,190.500,133.500
201,443.167,135.167
202,432.370,141.978
203,455.000,140.000
204,447.300,141.100
205,417.500,142.500
206,446.000,142.500
207,434.500,145.500
208,430.000,147.000
209,450.684,158.213
210,453.900,148.700
211,199.500,148.500
212,428.500,149.500
213,185.500,151.500
214,199.833,156.500
215,435.700,156.900
216,432.500,156.500
217,440.000,157.000
218,444.500,156.500
219,425.500,163.500
220,181.500,164.500
221,423.900,166.500
222,437.500,164.500
223,439.500,167.500
224,441.000,169.500
225,441.000,171.500
226,190.045,186.409
227,205.500,191.500
228,200.500,195.500
229,202.500,195.500
230,451.500,197.500
231,377.500,213.000
232,407.500,238.500
233,246.500,243.500
234,234.500,252.000
235,210.500,253.500
236,232.500,254.000
237,230.500,254.500
238,235.750,255.250
239,214.303,262.579
240,235.500,260.500
241,233.500,262.500
242,240.900,269.300
243,382.500,269.500
244,388.227,278.682
245,389.500,283.500
246,385.500,288.147
247,395.083,295.750
248,270.700,295.100
249,392.500,302.500
250,297.553,347.289
251,301.500,345.500
252,396.462,353.481
253,366.000,359.000
254,381.700,362.100
255,276.389,365.944
256,421.643,366.929
257,291.500,369.000
258,420.500,369.500
259,428.563,398.914
260,433.000,372.000
261,292.500,372.500
262,435.500,372.500
263,340.500,373.500
264,343.000,374.000
265,351.100,374.300
266,277.703,381.812
267,280.500,375.500
268,376.000,378.000
269,417.167,406.500
270,312.500,410.500
271,303.500,421.500
272,306.500,422.500
273,338.500,423.500
274,403.500,427.000
275,406.500,427.500
276,396.656,431.781
277,366.250,434.357
278,387.971,438.324
279,342.000,435.500
280,327.900,438.300
281,370.500,437.500
282,332.000,439.500
283,367.000,440.000
284,334.500,440.500
285,362.500,443.000
286,325.500,448.250
287,336.000,447.000
288,327.500,452.500
289,372.500,452.500
290,326.250,454.625
291,338.773,463.455
